time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
1.82,0.210143512232,-0.485452336591,-1.40069051933,1.52336585676,-2.74686772444,0.0444247305765,1.57169663909,100.0,-0.777594696616,0.203885941968,1.33495089677,2.20932621164,-2.89943481344,-0.186335253895,1.15158677551,100.0
1.84,0.210197125605,-0.485418348257,-1.40053553979,1.52346187261,-2.74686391397,0.0442213833862,1.57170305426,100.0,-0.767225496849,0.205891388133,1.33082571674,2.17782722589,-2.89360501014,-0.179858981345,1.15698239063,100.0
1.86,0.210204817005,-0.485351487516,-1.40042083056,1.52343414763,-2.74690848757,0.0442197094627,1.57167534225,100.0,-0.758081129082,0.205579156816,1.34061772417,2.14442867879,-2.90156521111,-0.188770849966,1.14916290211,100.0
1.88,0.210249041914,-0.485337887846,-1.40049287028,1.52340485013,-2.74690501535,0.0443262114924,1.57167489995,100.0,-0.750282011245,0.203517094058,1.3479870257,2.11372453769,-2.90054096821,-0.186978945861,1.1494803833,100.0
1.9,0.210309062916,-0.485392565052,-1.40063697603,1.52339287918,-2.74687368703,0.0443658469708,1.57169281028,100.0,-0.744190000898,0.203451130899,1.34086413114,2.08330788008,-2.89696409712,-0.18716977893,1.1532468817,100.0
1.921,0.210321584192,-0.485435607726,-1.40066799851,1.52337423483,-2.74687186704,0.0444212642959,1.57169338325,100.0,-0.738595320403,0.205314374585,1.33229381935,2.05215443136,-2.89993972286,-0.184467375308,1.1513642776,100.0
1.941,0.210304440731,-0.485423438058,-1.40059084451,1.52337954493,-2.74688329024,0.0443917744021,1.57168882669,100.0,-0.733514120598,0.205823223245,1.33550088417,2.02114277503,-2.89805100348,-0.182663949702,1.15266395502,100.0
1.96,0.210293926547,-0.485385834925,-1.40051402655,1.52342800246,-2.74688832494,0.0442715362097,1.57168633159,100.0,-0.729259779868,0.204725354282,1.34388158909,1.98943543274,-2.89808435853,-0.189157815507,1.15190355579,100.0
1.982,0.210276660839,-0.485364221596,-1.40049875698,1.52344163423,-2.74689006114,0.0442396000555,1.57168480168,100.0,-0.72558845452,0.203401900058,1.34502490514,1.95839052792,-2.90073818827,-0.187685445683,1.14951185999,100.0
2.001,0.210251811834,-0.485372404689,-1.40055206959,1.52340242436,-2.7468886047,0.0443351182591,1.57168520116,100.0,-0.722644701062,0.203867122772,1.338300569,1.92678328332,-2.89844420776,-0.184558980275,1.15218488745,100.0
2.02,0.210237540893,-0.485401497256,-1.40062276282,1.52338160126,-2.7468832218,0.0443996809236,1.57168613725,100.0,-0.720263706538,0.205524836674,1.33395377817,1.89521756579,-2.8979216806,-0.184255524166,1.15292392484,100.0
2.04,0.210221337401,-0.485420811189,-1.40063081118,1.52339604195,-2.7468752313,0.0443692050834,1.57169139516,100.0,-0.718089830375,0.205707340832,1.33737578507,1.86446333385,-2.89961073367,-0.184677919254,1.15113177905,100.0
2.06,0.210189722805,-0.485408638656,-1.40057006469,1.52341303465,-2.74687859243,0.0443205012935,1.57169174007,100.0,-0.716134954291,0.204396832966,1.34296972175,1.8336042502,-2.89853852236,-0.187942693035,1.15167813062,100.0
2.08,0.210161990396,-0.485381820783,-1.40052271491,1.52342144763,-2.74689061954,0.0442913458303,1.57168400996,100.0,-0.714438358623,0.203571210933,1.34348340897,1.80257754807,-2.89881113319,-0.18744518497,1.15149001325,100.0
2.1,0.210152516729,-0.485373527162,-1.4005380906,1.52342205159,-2.74688962419,0.0442944755872,1.57168364769,100.0,-0.712977290169,0.204010943652,1.33882527896,1.77077811904,-2.89958181933,-0.184604576809,1.15106693847,100.0
2.12,0.210150399884,-0.48538881508,-1.40058390836,1.52340717955,-2.74688101735,0.0443365785188,1.57168885234,100.0,-0.711107171691,0.205715922449,1.34008367481,1.74209556187,-2.89010083489,-0.218678926509,1.16017390868,100.0
2.14,0.210148570013,-0.485405968147,-1.40060938068,1.52339319801,-2.74688072338,0.0443715696398,1.57168828689,100.0,-0.707367208565,0.205394263163,1.34352371846,1.71310520501,-2.89696121353,-0.238410881559,1.15324377167,100.0
2.161,0.210149545983,-0.4854084835,-1.40059516925,1.52340013926,-2.74688164774,0.0443540904328,1.57168812491,100.0,-0.703752573877,0.203760154255,1.34421828718,1.6859898505,-2.90141137011,-0.224879255187,1.14915642969,100.0
2.184,0.210152039119,-0.485397000099,-1.4005593869,1.52341616095,-2.7468820723,0.0443104971378,1.57168923766,100.0,-0.705299484448,0.202837455673,1.34106065478,1.68534855725,-2.89766974158,-0.145886422548,1.1525794737,100.0
2.2,0.210156014791,-0.485383911809,-1.40054027829,1.52341902626,-2.74688708435,0.0442998868143,1.5716860028,100.0,-0.708656342431,0.204529348882,1.33802716253,1.6841183872,-2.89700993637,-0.15221331162,1.15342982181,100.0
2.22,0.210166070757,-0.485382960089,-1.40055682869,1.52340949574,-2.74688771903,0.0443235140479,1.57168493145,100.0,-0.712877704281,0.204769474901,1.337396214,1.68983278611,-2.90084449541,-0.199147185783,1.15027902672,100.0
